Protein	FilterMatch	RegEx
ANIA_NEIGO	nitrite reductase	nitrite reductase
ANIA_NEIMA	nitrite reductase	nitrite reductase
ANIA_NEIMB	nitrite reductase	nitrite reductase
C554_NITEU	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
HAO_NITEU	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
NASC_BACSU	Assimilatory nitrate reductase catalytic subunit	assimilatory nitrate reductase catalytic subunit
NASD_BACSU	Nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
NASE_BACSU	nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
NIRB_ECOLI	Nitrite reductase	nitrite reductase
NIRB_KLEOX	Nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
NIRD_ECO57	Nitrite reductase	nitrite reductase
NIRD_SALTI	Nitrite reductase	nitrite reductase
NIRK_RHIME	nitrite reductase	nitrite reductase
NIRS_PARDP	Nitrite reductase	nitrite reductase
NIRS_PARPN	Nitrite reductase	nitrite reductase
NIRS_PSEAE	Nitrite reductase	nitrite reductase
NIRS_PSEST	Nitrite reductase	nitrite reductase
NIR_ACHCY	nitrite reductase	nitrite reductase
NIR_ALCFA	nitrite reductase	nitrite reductase
NIR_ALCXX	nitrite reductase	nitrite reductase
NIR_PHOLA	nitrite reductase	nitrite reductase
NIR_PSECL	nitrite reductase	nitrite reductase
NIR_RHIGA	nitrite reductase	nitrite reductase
NIR_RHISU	nitrite reductase	nitrite reductase
NIR_RHOS5	nitrite reductase	nitrite reductase
NIR_SYNE7	nitrite reductase	nitrite reductase
NRFA_ALISL	nitrite reductase	nitrite reductase
NRFA_ARCB4	nitrite reductase	nitrite reductase
NRFA_BACFN	nitrite reductase	nitrite reductase
NRFA_BACFR	nitrite reductase	nitrite reductase
NRFA_BACTN	nitrite reductase	nitrite reductase
NRFA_CITK8	nitrite reductase	nitrite reductase
NRFA_DESAD	nitrite reductase	nitrite reductase
NRFA_DESPS	nitrite reductase	nitrite reductase
NRFA_ECO24	nitrite reductase	nitrite reductase
NRFA_ECO27	nitrite reductase	nitrite reductase
NRFA_ECO5E	nitrite reductase	nitrite reductase
NRFA_ECO81	nitrite reductase	nitrite reductase
NRFA_ECOHS	nitrite reductase	nitrite reductase
